match_id,currency,cat1,cat2,cat3,cat4,source,retrieved_at
1,USD,2355.0,1705.0,1020.0,,fifa_portal_har,2025-12-17
2,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
3,USD,2170.0,1575.0,930.0,,fifa_portal_har,2025-12-17
4,USD,2735.0,1940.0,1120.0,,fifa_portal_har,2025-12-17
5,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
6,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
7,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
8,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
9,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
10,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
11,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
12,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
13,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
14,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
15,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
16,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
17,USD,620.0,465.0,220.0,,fifa_portal_har,2025-12-17
18,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
19,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
20,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
21,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
22,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
23,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
24,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
25,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
26,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
27,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
28,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
29,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
30,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
31,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
32,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
33,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
34,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
35,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
36,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
37,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
38,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
39,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
40,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
41,USD,620.0,465.0,220.0,,fifa_portal_har,2025-12-17
42,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
43,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
44,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
45,USD,600.0,430.0,220.0,,fifa_portal_har,2025-12-17
46,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
47,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
48,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
49,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
50,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
51,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
52,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
53,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
54,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
55,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
56,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
57,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
58,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
59,USD,910.0,750.0,340.0,,fifa_portal_har,2025-12-17
60,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
61,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
62,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
63,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
64,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
65,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
66,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
67,USD,620.0,465.0,220.0,,fifa_portal_har,2025-12-17
68,USD,500.0,400.0,180.0,,fifa_portal_har,2025-12-17
69,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
70,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
71,USD,700.0,500.0,265.0,,fifa_portal_har,2025-12-17
72,USD,450.0,380.0,140.0,,fifa_portal_har,2025-12-17
73,USD,790.0,605.0,305.0,,fifa_portal_har,2025-12-17
74,USD,620.0,515.0,265.0,,fifa_portal_har,2025-12-17
75,USD,460.0,350.0,190.0,,fifa_portal_har,2025-12-17
76,USD,530.0,430.0,220.0,,fifa_portal_har,2025-12-17
77,USD,750.0,610.0,280.0,,fifa_portal_har,2025-12-17
78,USD,505.0,405.0,205.0,,fifa_portal_har,2025-12-17
79,USD,620.0,485.0,240.0,,fifa_portal_har,2025-12-17
80,USD,530.0,430.0,190.0,,fifa_portal_har,2025-12-17
81,USD,765.0,605.0,275.0,,fifa_portal_har,2025-12-17
82,USD,515.0,430.0,200.0,,fifa_portal_har,2025-12-17
83,USD,625.0,475.0,240.0,,fifa_portal_har,2025-12-17
84,USD,700.0,555.0,250.0,,fifa_portal_har,2025-12-17
85,USD,600.0,515.0,230.0,,fifa_portal_har,2025-12-17
86,USD,700.0,560.0,270.0,,fifa_portal_har,2025-12-17
87,USD,520.0,425.0,200.0,,fifa_portal_har,2025-12-17
88,USD,540.0,440.0,225.0,,fifa_portal_har,2025-12-17
89,USD,840.0,620.0,320.0,,fifa_portal_har,2025-12-17
90,USD,620.0,505.0,220.0,,fifa_portal_har,2025-12-17
91,USD,980.0,785.0,365.0,,fifa_portal_har,2025-12-17
92,USD,885.0,625.0,350.0,,fifa_portal_har,2025-12-17
93,USD,640.0,515.0,240.0,,fifa_portal_har,2025-12-17
94,USD,695.0,565.0,270.0,,fifa_portal_har,2025-12-17
95,USD,735.0,580.0,270.0,,fifa_portal_har,2025-12-17
96,USD,765.0,625.0,320.0,,fifa_portal_har,2025-12-17
97,USD,1270.0,890.0,650.0,,fifa_portal_har,2025-12-17
98,USD,1775.0,1220.0,800.0,,fifa_portal_har,2025-12-17
99,USD,1445.0,1005.0,735.0,,fifa_portal_har,2025-12-17
100,USD,1265.0,940.0,535.0,,fifa_portal_har,2025-12-17
101,USD,3295.0,2350.0,930.0,,fifa_portal_har,2025-12-17
102,USD,3040.0,2525.0,905.0,,fifa_portal_har,2025-12-17
103,USD,1125.0,865.0,455.0,,fifa_portal_har,2025-12-17
104,USD,8680.0,5575.0,4185.0,,fifa_portal_har,2025-12-17
